,-69
12986186,80,-82
12986187,15,-65
12986188,15,-77
12986189,43,-87
12986190,43,-68
12986191,80,-98
12986192,80,-88
12986193,15,-70
12986194,15,-65
12986195,43,-75
12986196,43,-96
12986197,43,-85
12986198,15,-67
12986199,15,-87
12986200,15,-80
12986201,43,-76
12986202,43,-86
12986203,15,-66
12986204,43,-81
12986205,43,-69
12986206,43,-76
12986207,80,-101
12986208,80,-89
12986209,80,-76
12986210,15,-65
12986211,15,-76
12986212,43,-89
12986213,43,-73
12986214,15,-83
12986215,15,-93
12986216,15,-68
12986217,43,-83
12986218,43,-73
12986219,43,-78
12986220,43,-87
12986221,43,-79
12986222,80,-92
12986223,15,-65
12986224,43,-70
12986225,43,-93
12986226,43,-93
12986227,43,-88
12986228,80,-83
12986229,15,-69
12986230,15,-94
12986231,15,-77
12986232,43,-98
12986233,43,-88
12986234,43,-97
12986235,43,-93
12986236,80,-94
12986237,80,-80
12986238,15,-79
12986239,15,-67
12986240,43,-71
12986241,43,-87
12986242,43,-96
12986243,43,-84
12986244,80,-89
12986245,15,-85
12986246,15,-65
12986247,15,-62
12986248,43,-78
12986249,43,-81
12986250,43,-97
12986251,43,-93
12986252,80,-80
12986253,15,-68
12986254,15,-67
12986255,43,-91
12986256,43,-68
12986257,43,-72
12986258,80,-85
12986259,15,-76
12986260,15,-78
12986261,43,-75
12986262,43,-76
12986263,43,-88
12986264,43,-92
12986265,80,-77
12986266,15,-64
12986267,15,-68
12986268,43,-82
12986269,43,-91
12986270,80,-97
12986271,80,-91
12986272,15,-65
12986273,15,-62
12986274,15,-99
12986275,43,-67
12986276,43,-87
12986277,15,-79
12986278,15,-84
12986279,43,-75
12986280,43,-78
12986281,43,-91
12986282,80,-98
12986283,15,-96
12986284,15,-97
12986285,15,-63
12986286,43,-76
12986287,43,-83
12986288,43,-66
12986289,43,-84
12986290,80,-80
12986291,15,-68
12986292,15,-72
12986293,43,-84
12986294,43,-88
12986295,43,-71
12986296,80,-84
12986297,15,-62
12986298,15,-94
12986299,43,-78
12986300,43,-87
12986301,43,-79
12986302,43,-67
12986303,15,-78
12986304,15,-68
12986305,43,-81
12986306,43,-86
12986307,43,-99
12986308,80,-98
12986309,15,-84
12986310,15,-64
12986311,15,-77
12986312,43,-75
12986313,43,-71
12986314,15,-68
