,-76
12837221,6,-95
12837222,6,-86
12837223,15,-74
12837224,15,-66
12837225,39,-84
12837226,39,-90
12837227,39,-92
12837228,39,-96
12837229,93,-77
12837230,93,-79
12837231,15,-77
12837232,15,-88
12837233,39,-86
12837234,39,-83
12837235,39,-82
12837236,93,-57
12837237,93,-89
12837238,6,-74
12837239,6,-74
12837240,6,-87
12837241,6,-86
12837242,15,-87
12837243,15,-68
12837244,39,-77
12837245,39,-73
12837246,39,-91
12837247,93,-81
12837248,93,-56
12837249,93,-77
12837250,6,-81
12837251,15,-77
12837252,15,-68
12837253,39,-95
12837254,39,-80
12837255,39,-71
12837256,39,-82
12837257,39,-92
12837258,93,-59
12837259,6,-73
12837260,93,-98
12837261,15,-91
12837262,6,-90
12837263,39,-88
12837264,39,-94
12837265,39,-92
12837266,39,-81
12837267,93,-57
12837268,6,-74
12837269,6,-82
12837270,6,-94
12837271,6,-80
12837272,15,-73
12837273,15,-73
12837274,39,-77
12837275,39,-94
12837276,39,-78
12837277,39,-97
12837278,39,-72
12837279,93,-61
12837280,6,-88
12837281,15,-76
12837282,15,-69
12837283,39,-84
12837284,39,-84
12837285,39,-80
12837286,39,-91
12837287,6,-75
12837288,6,-89
12837289,6,-77
12837290,15,-74
12837291,15,-87
12837292,39,-75
12837293,39,-77
12837294,93,-60
12837295,93,-98
12837296,6,-81
12837297,6,-95
12837298,6,-96
12837299,6,-73
12837300,6,-87
12837301,15,-62
12837302,15,-95
12837303,39,-85
12837304,39,-86
12837305,39,-72
12837306,39,-81
12837307,93,-56
12837308,93,-80
12837309,15,-90
12837310,15,-72
12837311,39,-87
12837312,39,-44
12837313,39,-76
12837314,39,-97
12837315,39,-89
12837316,93,-88
12837317,93,-57
12837318,6,-76
12837319,6,-75
12837320,15,-84
12837321,15,-85
12837322,15,-85
12837323,39,-78
12837324,39,-88
12837325,39,-74
12837326,93,-56
12837327,93,-79
12837328,93,-80
12837329,6,-75
12837330,6,-76
12837331,6,-95
12837332,6,-84
12837333,6,-90
12837334,15,-71
12837335,15,-75
12837336,39,-96
12837337,93,-101
12837338,93,-72
12837339,39,-83
12837340,6,-93
12837341,6,-73
12837342,39,-75
12837343,39,-52
12837344,39,-99
12837345,93,-77
12837346,93,-55
12837347,6,-83
12837348,6,-71
12837349,6,-75
12837350,6,-89
12837351,6,-85
12837352,15,-83
12837353,15,-73
12837354,39,-63
12837355,39,-85
12837356,39,-60
12837357,6,-73
12837358,39,-58
12837359,93,-71
12837360,39,-90
12837361,6,-93
12837362,6,-88
12837363,39,-84
12837364,6,-89
12837365,15,-68
12837366,15,-89
12837367,15,-91
12837368,39,-71
12837369,39,-81
12837370,93,-80
12837371,93,-81
12837372,6,-84
12837373,15,-76
12837374,15,-99
12837375,39,-62
12837376,39,-98
12837377,39,-54
12837378,93,-58
12837379,6,-87
12837380,6,-91
12837381,6,-69
12837382,6,-90
12837383,15,-75
12837384,15,-74
12837385,39,-95
12837386,39,-72
12837387,39,-82
12837388,39,-92
12837389,39,-98
12837390,93,-55
12837391,93,-80
12837392,6,-72
12837393,6,-72
12837394,6,-97
12837395,6,-80
12837396,15,-99
12837397,39,-72
12837398,39,-84
12837399,39,-57
12837400,93,-72
12837401,6,-69
12837402,6,-72
12837403,6,-102
12837404,6,-74
12837405,15,-76
12837406,15,-74
12837407,39,-81
12837408,39,-72
12837409,39,-75
12837410,93,-81
12837411,93,-56
12837412,93,-93
12837413,6,-81
12837414,6,-75
12837415,6,-72
12837416,6,-85
12837417,15,-71
12837418,15,-85
12837419,39,-75
12837420,39,-82
12837421,39,-86
12837422,39,-86
12837423,93,-72
12837424,6,-86
12837425,6,-85
12837426,6,-72
12837427,6,-76
12837428,15,-89
12837429,15,-88
12837430,39,-85
12837431,39,-92
12837432,39,-99
12837433,39,-76
12837434,39,-74
12837435,93,-81
12837436,93,-55
12837437,15,-74
12837438,15,-91
12837439,15,-86
12837440,39,-87
12837441,39,-68
12837442,39,-80
12837443,39,-67
12837444,39,-89
12837445,39,-99
12837446,39,-86
12837447,93,-87
12837448,93,-74
12837449,6,-85
12837450,6,-98
12837451,6,-97
12837452,15,-86
12837453,15,-88
12837454,39,-84
12837455,39,-92
12837456,39,-81
12837457,39,-86
12837458,39,-101
12837459,39,-89
12837460,39,-69
12837461,93,-58
12837462,93,-82
12837463,6,-80
12837464,6,-83
12837465,15,-86
12837466,15,-61
12837467,39,-94
12837468,39,-85
12837469,39,-80
12837470,39,-69
12837471,39,-73
12837472,39,-72
12837473,39,-97
12837474,93,-90
12837475,93,-75
12837476,6,-73
12837477,6,-87
12837478,15,-75
12837479,39,-91
12837480,39,-72
12837481,39,-77
12837482,39,-79
12837483,39,-68
12837484,39,-73
12837485,39,-73
12837486,93,-97
12837487,93,-82
12837488,93,-55
12837489,6,-76
12837490,6,-70
12837491,15,-99
12837492,15,-71
12837493,15,-73
12837494,39,-79
12837495,39,-84
12837496,39,-92
12837497,39,-74
12837498,39,-87
12837499,39,-94
12837500,39,-79
12837501,93,-69
12837502,93,-95
12837503,6,-83
12837504,6,-75
12837505,6,-84
12837506,6,-90
12837507,15,-88
12837508,15,-84
12837509,39,-86
12837510,39,-85
12837511,39,-73
12837512,39,-79
12837513,39,-90
12837514,39,-86
12837515,39,-81
12837516,93,-85
12837517,93,-60
12837518,6,-65
12837519,6,-77
12837520,6,-89
12837521,6,-94
12837522,15,-71
12837523,15,-69
12837524,39,-84
12837525,39,-90
12837526,39,-76
12837527,93,-76
12837528,93,-75
12837529,93,-79
12837530,15,-69
12837531,15,-73
12837532,39,-91
12837533,39,-96
12837534,39,-80
12837535,39,-82
12837536,93,-78
12837537,93,-81
12837538,39,-75
12837539,6,-70
12837540,6,-92
12837541,6,-80
12837542,6,-87
12837543,15,-75
12837544,39,-91
12837545,39,-80
12837546,39,-73
12837547,39,-53
12837548,39,-75
12837549,39,-65
12837550,93,-69
12837551,6,-75
12837552,6,-82
12837553,15,-70
12837554,15,-75
12837555,6,-81
12837556,39,-71
12837557,39,-83
12837558,39,-72
12837559,39,-69
12837560,39,-97
12837561,39,-79
12837562,39,-94
12837563,39,-68
12837564,39,-50
12837565,93,-68
12837566,93,-100
12837567,93,-77
12837568,6,-89
12837569,6,-79
12837570,6,-85
12837571,15,-81
12837572,15,-74
12837573,39,-59
12837574,39,-85
12837575,39,-80
12837576,39,-78
12837577,39,-82
12837578,39,-102
12837579,39,-83
12837580,93,-89
12837581,93,-71
12837582,6,-70
12837583,6,-88
12837584,6,-92
12837585,6,-95
12837586,39,-68
12837587,39,-84
12837588,39,-75
12837589,93,-58
12837590,6,-99
12837591,6,-64
12837592,15,-61
12837593,39,-75
12837594,39,-86
12837595,39,-74
12837596,39,-92
12837597,39,-83
12837598,39,-80
12837599,39,-82
12837600,93,-84
12837601,93,-82
12837602,6,-70
12837603,6,-76
12837604,15,-76
12837605,15,-81
12837606,39,-55
12837607,39,-74
12837608,39,-97
12837609,39,-62
12837610,39,-67
12837611,39,-96
12837612,93,-61
12837613,93,-92
12837614,6,-73
12837615,6,-78
12837616,15,-85
12837617,15,-61
12837618,39,-95
12837619,39,-93
12837620,39,-77
12837621,39,-53
12837622,39,-94
12837623,39,-92
12837624,39,-84
12837625,93,-79
12837626,93,-83
12837627,93,-87
12837628,6,-86
12837629,6,-81
12837630,15,-67
12837631,39,-62
12837632,39,-69
