,-90
12835201,93,-76
12835202,15,-80
12835203,93,-86
12835204,6,-89
12835205,6,-79
12835206,6,-70
12835207,15,-67
12835208,15,-74
12835209,93,-80
12835210,93,-49
12835211,93,-75
12835212,6,-75
12835213,6,-90
12835214,15,-80
12835215,15,-76
12835216,93,-66
12835217,6,-92
12835218,15,-64
12835219,93,-79
12835220,93,-67
12835221,93,-95
12835222,6,-77
12835223,6,-80
12835224,15,-77
12835225,15,-68
12835226,93,-50
12835227,6,-85
12835228,6,-98
12835229,6,-80
12835230,15,-75
12835231,15,-65
12835232,15,-91
12835233,93,-80
12835234,93,-65
12835235,6,-95
12835236,6,-86
12835237,15,-74
12835238,15,-65
12835239,93,-50
12835240,6,-86
12835241,6,-67
12835242,6,-93
12835243,15,-79
12835244,93,-95
12835245,93,-48
12835246,93,-98
12835247,6,-83
12835248,15,-66
12835249,15,-76
12835250,93,-76
12835251,93,-65
12835252,93,-78
12835253,6,-73
12835254,6,-81
12835255,15,-68
12835256,6,-83
12835257,93,-85
12835258,93,-49
12835259,93,-103
12835260,6,-103
12835261,6,-70
12835262,15,-90
12835263,15,-86
12835264,15,-80
12835265,93,-51
12835266,6,-90
12835267,93,-83
12835268,93,-67
12835269,93,-90
12835270,6,-90
12835271,15,-86
12835272,93,-50
12835273,93,-92
12835274,15,-65
12835275,15,-101
12835276,93,-86
12835277,93,-83
12835278,93,-50
12835279,15,-74
12835280,15,-80
12835281,93,-102
12835282,93,-68
12835283,6,-84
12835284,6,-76
12835285,15,-94
12835286,93,-79
12835287,93,-50
12835288,93,-94
12835289,6,-78
12835290,6,-93
12835291,6,-84
12835292,15,-72
12835293,15,-72
12835294,73,-91
12835295,93,-67
12835296,6,-90
12835297,6,-70
12835298,6,-80
12835299,15,-80
12835300,15,-93
12835301,93,-49
12835302,93,-94
12835303,6,-83
12835304,6,-81
12835305,6,-94
12835306,15,-80
12835307,15,-73
12835308,93,-51
12835309,6,-76
12835310,6,-92
12835311,6,-101
12835312,15,-79
12835313,15,-87
12835314,93,-79
12835315,93,-50
12835316,6,-92
12835317,15,-96
12835318,93,-65
12835319,6,-97
12835320,6,-76
12835321,6,-92
12835322,15,-72
12835323,15,-73
12835324,93,-50
12835325,6,-81
12835326,6,-79
12835327,6,-79
12835328,15,-85
12835329,6,-83
12835330,6,-80
12835331,15,-89
12835332,15,-75
12835333,15,-101
12835334,15,-85
12835335,93,-83
12835336,93,-67
12835337,93,-84
12835338,6,-84
12835339,6,-91
12835340,6,-68
12835341,6,-96
12835342,15,-89
12835343,15,-91
12835344,93,-53
12835345,93,-88
12835346,6,-86
12835347,6,-76
12835348,6,-80
12835349,15,-86
12835350,15,-86
12835351,93,-65
12835352,93,-79
12835353,93,-78
12835354,6,-86
12835355,6,-85
12835356,6,-74
12835357,6,-84
12835358,6,-90
12835359,15,-100
12835360,15,-79
12835361,93,-84
12835362,93,-65
12835363,6,-86
12835364,6,-91
12835365,15,-78
12835366,15,-70
12835367,93,-78
12835368,93,-80
12835369,93,-49
12835370,6,-94
12835371,15,-99
12835372,15,-76
12835373,15,-74
12835374,93,-68
12835375,6,-79
12835376,15,-94
12835377,93,-80
12835378,93,-50
12835379,93,-89
12835380,6,-89
12835381,6,-89
12835382,15,-90
12835383,93,-54
12835384,6,-83
12835385,15,-105
12835386,15,-78
12835387,93,-65
12835388,93,-76
12835389,93,-79
12835390,6,-73
12835391,6,-82
12835392,6,-81
12835393,6,-80
12835394,6,-71
12835395,15,-83
12835396,93,-84
12835397,93,-50
12835398,6,-76
12835399,6,-77
12835400,93,-90
12835401,93,-51
12835402,93,-85
12835403,6,-99
12835404,6,-88
12835405,6,-96
12835406,6,-71
12835407,15,-74
12835408,15,-68
12835409,93,-53
12835410,6,-79
12835411,6,-84
12835412,15,-63
12835413,15,-69
12835414,93,-89
12835415,93,-66
12835416,93,-79
12835417,93,-83
12835418,15,-76
12835419,15,-67
12835420,93,-53
12835421,6,-77
12835422,6,-87
12835423,6,-90
12835424,15,-69
12835425,15,-90
12835426,93,-83
12835427,93,-49
12835428,93,-83
12835429,6,-72
12835430,6,-76
12835431,6,-86
12835432,6,-71
12835433,15,-68
12835434,15,-81
12835435,93,-67
12835436,93,-91
12835437,6,-76
12835438,6,-95
12835439,6,-84
12835440,15,-78
12835441,15,-90
12835442,15,-102
12835443,93,-88
12835444,93,-51
12835445,6,-76
12835446,6,-90
12835447,6,-79
12835448,15,-71
12835449,93,-89
12835450,93,-49
12835451,93,-90
12835452,93,-78
12835453,6,-74
12835454,15,-64
12835455,15,-88
12835456,15,-71
12835457,6,-75
12835458,6,-78
12835459,15,-81
12835460,15,-89
12835461,93,-65
12835462,93,-90
12835463,93,-90
12835464,6,-86
12835465,15,-66
12835466,93,-99
12835467,93,-67
12835468,6,-89
12835469,6,-69
12835470,6,-94
12835471,15,-73
12835472,93,-79
12835473,15,-67
12835474,93,-49
12835475,6,-83
12835476,6,-100
12835477,6,-87
12835478,6,-94
12835479,6,-85
12835480,15,-73
12835481,15,-72
12835482,93,-77
12835483,93,-51
12835484,6,-70
12835485,6,-103
12835486,15,-79
12835487,93,-98
12835488,93,-49
12835489,93,-95
12835490,6,-70
12835491,6,-90
12835492,15,-87
12835493,93,-90
12835494,93,-63
12835495,93,-89
12835496,15,-66
12835497,93,-87
12835498,93,-51
12835499,6,-71
12835500,15,-64
12835501,15,-87
12835502,93,-90
12835503,93,-83
12835504,93,-90
12835505,15,-75
12835506,15,-80
12835507,93,-66
12835508,6,-97
12835509,6,-99
12835510,6,-72
12835511,15,-67
12835512,15,-86
12835513,73,-99
12835514,93,-99
12835515,93,-95
12835516,93,-65
12835517,6,-70
12835518,6,-74
12835519,15,-76
12835520,15,-64
12835521,93,-96
12835522,6,-73
12835523,6,-70
12835524,6,-75
12835525,15,-63
12835526,15,-70
12835527,6,-93
12835528,6,-76
12835529,6,-81
12835530,15,-78
12835531,15,-88
12835532,93,-65
12835533,93,-78
12835534,6,-75
12835535,6,-85
12835536,6,-88
12835537,6,-101
12835538,6,-71
12835539,6,-75
12835540,15,-89
12835541,15,-91
12835542,15,-78
12835543,15,-91
12835544,15,-101
12835545,93,-50
12835546,6,-76
12835547,6,-75
12835548,15,-88
12835549,15,-78
12835550,93,-80
12835551,93,-48
12835552,93,-89
12835553,6,-87
12835554,6,-77
12835555,6,-77
12835556,6,-72
12835557,15,-67
12835558,15,-96
12835559,15,-71
12835560,6,-75
12835561,6,-77
12835562,6,-87
12835563,6,-75
12835564,15,-78
12835565,15,-64
12835566,73,-99
12835567,93,-78
12835568,93,-63
12835569,93,-96
12835570,6,-72
12835571,15,-90
12835572,15,-87
12835573,15,-90
12835574,6,-97
12835575,6,-69
12835576,93,-49
12835577,6,-81
12835578,6,-88
12835579,15,-76
12835580,15,-80
12835581,93,-77
12835582,93,-78
12835583,93,-65
12835584,15,-69
12835585,15,-87
12835586,15,-75
12835587,6,-72
12835588,6,-74
12835589,93,-65
12835590,15,-78
12835591,15,-67
12835592,6,-79
12835593,6,-77
12835594,6,-72
12835595,15,-77
12835596,15,-87
12835597,93,-48
12835598,6,-83
12835599,6,-69
12835600,6,-91
12835601,15,-79
12835602,15,-75
12835603,6,-86
12835604,93,-91
12835605,93,-77
12835606,93,-91
12835607,93,-61
12835608,6,-92
12835609,6,-88
12835610,6,-88
12835611,15,-64
12835612,15,-71
12835613,93,-46
12835614,6,-71
12835615,6,-72
12835616,93,-48
12835617,93,-77
12835618,6,-84
12835619,6,-76
12835620,15,-82
12835621,15,-69
12835622,93,-83
12835623,93,-83
12835624,93,-47
12835625,15,-77
12835626,93,-48
12835627,6,-94
12835628,6,-76
12835629,15,-86
12835630,15,-97
12835631,93,-63
12835632,93,-79
12835633,6,-84
12835634,73,-86
12835635,93,-92
12835636,93,-48
12835637,6,-87
12835638,6,-85
12835639,6,-77
12835640,15,-101
12835641,15,-64
12835642,93,-46
12835643,93,-84
12835644,6,-100
12835645,6,-74
12835646,6,-69
12835647,6,-90
12835648,15,-80
12835649,15,-87
12835650,93,-48
12835651,6,-82
12835652,6,-97
12835653,6,-89
12835654,6,-80
12835655,15,-63
12835656,15,-79
12835657,93,-95
12835658,93,-86
12835659,93,-47
12835660,6,-70
12835661,15,-87
12835662,93,-64
12835663,6,-68
12835664,6,-74
12835665,6,-98
12835666,15,-102
12835667,15,-85
12835668,15,-63
12835669,93,
